CID,SMILES,PAINS_A,PAINS_B,PAINS_C,AllAssays_Active,AllAssays_Total,LuciferaseAssays_Active,LuciferaseAssays_Total,BetaLactamaseAssays_Active,BetaLactamaseAssays_Total,FluorescenceAssays_Active,FluorescenceAssays_Total
9592147,CC(=NNC(=O)C1=CC=CC=C1Cl)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,2,209,0,36,0,2,0,115
9592148,CC(=NNC(=O)C1=CC=CC=C1O)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,7,485,2,86,0,7,2,281
9592151,CC(=NNC(=O)C1=CC(=CC=C1)OC)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,4,496,1,93,0,7,0,284
9592152,CC(=NNC(=O)C1=C(C=C(C=C1)OC)OC)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,3,490,1,88,0,7,0,283
9592153,CC(=NNC(=O)C1=C(C=C(C=C1)[N+](=O)[O-])Cl)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,10,635,0,110,0,11,7,372
9592154,CC(=NNC(=O)C1=CC=CC=N1)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,15,660,3,101,0,14,1,384
9592156,CC(=NNC(=O)C1=NC=CN=C1)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,10,637,3,105,0,13,4,374
9592157,CC(=NNC(=O)C(C1=CC=CC=C1)OC)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,8,625,2,103,0,11,5,371
9592158,CC(=NNC(=O)CC1=CC=C(C=C1)OC)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,2,486,0,88,0,7,0,282
9592159,CC(=NNC(=O)CC1=CC(=C(C=C1)OC)OC)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,2,478,0,87,0,7,2,278
9592166,CC(=NNC(=O)C(=O)NCC1=CC=CC=C1)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,3,626,2,109,0,11,1,366
9594395,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C=NNC(=O)CC#N,anil_di_alk_A(478),   ,   ,2,618,0,102,0,11,1,370
9595537,CCN(CC)C(=O)C1CCCN(C1)C2=C(C=C(C=C2)[N+](=O)[O-])C=NNC(=O)C3=CC(=CC=C3)Br,anil_di_alk_A(478),   ,   ,15,676,4,108,0,14,9,394
9595662,CC1=CC=C(C=C1)OCC(=O)NN=CC2=C(C=CC(=C2)[N+](=O)[O-])N3CCCCC3,anil_di_alk_A(478),   ,   ,3,650,0,108,0,13,1,382
9595793,CC1=CC(=CC=C1)OCC(=O)NN=CC2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,11,641,0,107,0,13,8,379
9597450,CCC1=CC=C(C=C1)OCC(=O)NN=CC2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,7,662,0,109,0,13,5,392
9597459,CCC1=CC=C(C=C1)OCC(=O)NN=CC2=C(C=CC(=C2)[N+](=O)[O-])N3CCCCCC3,anil_di_alk_A(478),   ,   ,3,644,0,108,0,13,2,378
9598752,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C=NNC(=O)COC3=CC=C(C=C3)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,6,633,1,106,0,13,4,369
9600748,CN1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C=NNC(=O)C3=CC=C(C=C3)F,anil_di_alk_A(478),   ,   ,12,573,0,95,0,13,9,331
